buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
6.0,4.0,1112.465819,11.246582,8,4,4
13.0,7.5,1111.916785,11.191679,3,2,1
13.5,7.5,1111.916785,11.191679,3,2,1
14.0,7.5,1111.916785,11.191679,3,2,1
14.5,7.5,1111.916785,11.191679,3,2,1
15.0,7.5,1111.916785,11.191679,3,2,1
5.5,7.5,1111.447236,11.144724,5,3,2
6.0,7.5,1111.447236,11.144724,5,3,2
6.5,7.5,1111.447236,11.144724,5,3,2
11.5,10.0,1111.335284,11.133528,3,2,1
1.5,18.0,1111.075752,11.107575,3,2,1
2.0,18.0,1111.075752,11.107575,3,2,1
8.5,6.5,1110.569292,11.056929,5,3,2
5.0,5.0,1110.348115,11.034812,7,4,3
5.0,5.5,1110.348115,11.034812,7,4,3
12.0,9.5,1110.099914,11.009991,3,2,1
12.5,9.5,1110.099914,11.009991,3,2,1
15.5,7.0,1109.896719,10.989672,3,2,1
7.5,7.0,1109.821459,10.982146,5,3,2
16.5,6.0,1109.799228,10.979923,3,2,1
17.5,4.5,1108.788795,10.878879,3,2,1
17.5,5.0,1108.788795,10.878879,3,2,1
17.5,5.5,1108.788795,10.878879,3,2,1
2.0,9.5,1108.63581,10.863581,5,3,2
17.0,6.0,1108.570317,10.857032,3,2,1
2.5,7.5,1108.158375,10.815837,7,4,3
15.5,7.5,1107.299452,10.729945,3,2,1
7.0,7.5,1107.029387,10.702939,5,3,2
5.5,10.5,1106.473637,10.647364,3,2,1
6.0,10.5,1106.473637,10.647364,3,2,1
6.5,10.5,1106.473637,10.647364,3,2,1
7.0,10.5,1106.473637,10.647364,3,2,1
7.5,10.5,1106.473637,10.647364,3,2,1
8.0,10.5,1106.473637,10.647364,3,2,1
5.5,11.0,1106.473637,10.647364,3,2,1
6.0,11.0,1106.473637,10.647364,3,2,1
6.5,11.0,1106.473637,10.647364,3,2,1
7.0,11.0,1106.473637,10.647364,3,2,1
7.5,11.0,1106.473637,10.647364,3,2,1
8.0,11.0,1106.473637,10.647364,3,2,1
5.5,11.5,1106.473637,10.647364,3,2,1
6.0,11.5,1106.473637,10.647364,3,2,1
6.5,11.5,1106.473637,10.647364,3,2,1
7.0,11.5,1106.473637,10.647364,3,2,1
7.5,11.5,1106.473637,10.647364,3,2,1
8.0,11.5,1106.473637,10.647364,3,2,1
5.5,12.0,1106.473637,10.647364,3,2,1
6.0,12.0,1106.473637,10.647364,3,2,1
